volume_no,file,original_chars,white_chars,paired_sections,original_only_sections,white_only_sections
172,《资治通鉴.第3部》全译(124-184)/172.txt,8862,14062,48,0,0
173,《资治通鉴.第3部》全译(124-184)/173.txt,9256,16399,80,0,3
174,《资治通鉴.第3部》全译(124-184)/174.txt,7368,13091,38,0,0
175,《资治通鉴.第3部》全译(124-184)/175.txt,10677,20607,91,0,0
176,《资治通鉴.第3部》全译(124-184)/176.txt,9300,16066,87,0,0
177,《资治通鉴.第3部》全译(124-184)/177.txt,10263,20049,27,0,0
178,《资治通鉴.第3部》全译(124-184)/178.txt,11043,19932,79,0,0
179,《资治通鉴.第3部》全译(124-184)/179.txt,11087,17674,36,0,1
180,《资治通鉴.第3部》全译(124-184)/180.txt,11256,17603,53,0,1
181,《资治通鉴.第3部》全译(124-184)/181.txt,10678,16040,58,0,1
182,《资治通鉴.第3部》全译(124-184)/182.txt,11945,18118,54,0,0
183,《资治通鉴.第3部》全译(124-184)/183.txt,10809,18418,40,0,0
184,《资治通鉴.第3部》全译(124-184)/184.txt,11200,17308,33,0,0
185,《资治通鉴.第4部》全译(185-240)/185.txt,11353,16870,54,0,0
186,《资治通鉴.第4部》全译(185-240)/186.txt,10242,15407,49,0,0
187,《资治通鉴.第4部》全译(185-240)/187.txt,11171,17131,90,0,0
188,《资治通鉴.第4部》全译(185-240)/188.txt,10489,15577,97,0,0
189,《资治通鉴.第4部》全译(185-240)/189.txt,11433,16095,81,0,0
190,《资治通鉴.第4部》全译(185-240)/190.txt,11292,16372,157,0,0
191,《资治通鉴.第4部》全译(185-240)/191.txt,11815,20094,101,0,0
192,《资治通鉴.第4部》全译(185-240)/192.txt,11895,17670,78,0,1
193,《资治通鉴.第4部》全译(185-240)/193.txt,12053,17461,96,0,0
194,《资治通鉴.第4部》全译(185-240)/194.txt,11794,17279,108,0,2
195,《资治通鉴.第4部》全译(185-240)/195.txt,11482,16617,94,0,0
196,《资治通鉴.第4部》全译(185-240)/196.txt,10786,15631,58,0,0
197,《资治通鉴.第4部》全译(185-240)/197.txt,10933,16639,47,0,0
198,《资治通鉴.第4部》全译(185-240)/198.txt,11394,17087,70,0,0
199,《资治通鉴.第4部》全译(185-240)/199.txt,11287,17737,133,0,2
200,《资治通鉴.第4部》全译(185-240)/200.txt,11589,268,2,6,0
201,《资治通鉴.第4部》全译(185-240)/201.txt,11197,17779,120,0,0
